sen	label	f_w	f_p	f_weight	p_weight
user user i wudnt say funny lmao !	0	0	0	[0.04604416340589523, 0.12516100704669952, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523]	[0.11923837661743164, 0.0172079186886549, 0.11322960257530212, 0.017207995057106018, 0.12714903056621552, 0.1011696457862854, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106, 0.036056987941265106]
user should move back up fella . i be already here . on my own . have load of fun	0	0	0	[0.04604416340589523, 0.04604416340589523, 0.12516100704669952, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523, 0.04604416340589523]	[0.019941305741667747, 0.06472162157297134, 0.14667090773582458, 0.019849766045808792, 0.01984986662864685, 0.14666463434696198, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891, 0.04159301146864891]
user absolutely ! she just keep re - tweet anything and everything that mention her name . my page be flood ! enough , i say .	0	0	0	[0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.11598468571901321, 0.11598440259695053, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016]	[0.02391398325562477, 0.024417990818619728, 0.02391398884356022, 0.023918334394693375, 0.17670176923274994, 0.025605686008930206, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508]
user look awesome . how long do it take to paint ?	0	0	0	[0.10806194692850113, 0.10806194692850113, 0.03975377231836319, 0.03975377231836319, 0.10806194692850113, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319]	[0.1342410147190094, 0.1342410147190094, 0.019383156672120094, 0.11575935781002045, 0.03584897518157959, 0.02757290191948414, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365]
i do not know what to do with my life besides get high and make music	0	0	0	[0.11598459631204605, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.11598467081785202, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472]	[0.1622639298439026, 0.09983421117067337, 0.02241966314613819, 0.022040605545043945, 0.02204926684498787, 0.02486865594983101, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805]
this 8:20 friday class be gon na be great !	1	0	0	[0.11518418043851852, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.11608968675136566, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977, 0.04270700737833977]	[0.15279549360275269, 0.020879993215203285, 0.020717352628707886, 0.02067878283560276, 0.15279549360275269, 0.025515537708997726, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872, 0.04332982748746872]
too bad she ' s not that good at play the gay part of her character . pll	0	0	0	[0.11598465591669083, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.146526500582695, 0.146526500582695, 0.02263551391661167, 0.019847100600600243, 0.058447930961847305, 0.024287832900881767, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822]
this lab class boring af	0	0	0	[0.1079024001955986, 0.03977981582283974, 0.10812326520681381, 0.10771743953227997, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974]	[0.13476552069187164, 0.1203373447060585, 0.018348651006817818, 0.13476549088954926, 0.018530234694480896, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034]
i choose brown sugar mini wheat	0	0	0	[0.1079024001955986, 0.03977981582283974, 0.10812326520681381, 0.10771743953227997, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974, 0.03977981582283974]	[0.13476552069187164, 0.1203373447060585, 0.018348651006817818, 0.13476549088954926, 0.018530234694480896, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034, 0.03821687400341034]
love be up early after get no sleep	1	0	0	[0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806]	[0.020309654995799065, 0.15006722509860992, 0.020908694714307785, 0.02031175047159195, 0.15006080269813538, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266]
can someone please tell me why it smell like poop in lebanon right now ? ! like seriously though . so gross   	0	0	0	[0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806]	[0.020309654995799065, 0.15006722509860992, 0.020908694714307785, 0.02031175047159195, 0.15006080269813538, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266, 0.04255614057183266]
